,업체명,주소,crawl,x,y,행정동
0,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71 만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714,양재2동
1,강남복지충전소,서울특별시  강남구 밤고개로 200,서울특별시  강남구 밤고개로 200,37.4763295,127.1032761,세곡동
2,(주)상현상사,서울특별시  강남구 학동로 204,서울특별시  강남구 학동로 204,37.5136307,127.0291575,논현2동
3,암사충전소,서울특별시  강동구 올림픽로 791 GS칼텍스,서울특별시  강동구 올림픽로 791,37.5517791,127.1255452,암사제2동
4,진양가스,서울특별시  강남구 강남대로58길 61,서울특별시  강남구 강남대로58길 61,37.4905825,127.0346343,도곡1동
5,대치에너지주식회사,서울특별시  강남구 남부순환로 3179,서울특별시  강남구 남부순환로 3179,37.4992996,127.0759013,일원2동
6,서초충전소,서울특별시  서초구 남부순환로 2224,서울특별시  서초구 남부순환로 2224,37.4730658,126.9932777,방배3동
7,남서울가스(주),서울특별시  강남구 남부순환로 3154 남서울가스충전소,서울특별시  강남구 남부순환로 3154,37.4977796,127.0733765,일원2동
8,수도석유(주)방배충전소,서울특별시  서초구 동작대로 26 수도석유(주)방배충전소,서울특별시  서초구 동작대로 26,37.4868961,126.973018,사당제1동
9,복지상일충전소,서울특별시  강동구 천호대로 1452,서울특별시  강동구 천호대로 1452,37.5450485,127.1675848,상일동
10,(주)수서에너지,서울특별시  강남구 밤고개로 127 수서LPG충전소,서울특별시  강남구 밤고개로 127,37.4827957,127.1028258,세곡동
11,(주)경기에너지,서울특별시  강동구 천호대로 1056,서울특별시  강동구 천호대로 1056,37.5364849,127.1268028,성내제2동
12,(주)영동가스,서울특별시  서초구 잠원로 181 영동가스,서울특별시  서초구 잠원로 181,37.5188926,127.0096661,잠원동
13,강동LPG충전소,서울특별시  송파구 삼전로 47 강동LPG충전소,서울특별시  송파구 삼전로 47,37.5034486,127.0846755,잠실본동
14,오금가스충전소,서울특별시  송파구 마천로 103 오금가스충전소,서울특별시  송파구 마천로 103,37.5061584,127.1294083,오금동
15,홍익에너지(주),서울특별시  송파구 석촌호수로 242 홍익에너지LPG주유소,서울특별시  송파구 석촌호수로 242,37.5081049,127.1014515,석촌동
16,둔촌충전소,서울특별시  강동구 동남로 563 둔촌주유소,서울특별시  강동구 동남로 563,37.5252332,127.1444095,둔촌제2동
17,신흥에너지산업(주),서울특별시  은평구 수색로 199 신흥에너지산업,서울특별시  은평구 수색로 199,37.5785883,126.8981881,증산동
18,연일가스산업(주),서울특별시  서대문구 수색로 123 연일가스주유소,서울특별시  서대문구 수색로 123,37.5736524,126.9040941,북가좌제1동
19,(주)삼표에너지 수색충전소,서울특별시  은평구 수색로 181 삼표에너지,서울특별시  은평구 수색로 181,37.5777045,126.8991679,증산동
20,은평서부충전소,서울특별시  은평구 통일로 1186 은평서부충전소 제1동,서울특별시  은평구 통일로 1186,37.6436336,126.9190242,진관동
21,복지신정충전소,서울특별시  양천구 안양천로 669 (신정동 외5필지),서울특별시  양천구 안양천로 669,37.5071347,126.8689771,신정7동
22,수도에너지(주),서울특별시  양천구 신정로 146,서울특별시  양천구 신정로 146,37.5068869,126.8368141,신정3동
23,오승프라임산업(주),서울특별시  구로구 신정로 59 궁동 LPG충전소,서울특별시  구로구 신정로 59,37.5069035,126.826906,수궁동
24,(주)중앙에너비스 삼중가스지점,서울특별시  금천구 시흥대로 316,서울특별시  금천구 시흥대로 316,37.4617966,126.8961355,독산제2동
25,(주)세지,서울특별시  영등포구 선유로 37 세지충전소,서울특별시  영등포구 선유로 37,37.5174334,126.8862583,문래동
26,(주)삼표에너지 김포충전소,서울특별시  강서구 오정로 390,서울특별시  강서구 오정로 390,37.5380632,126.7959011,공항동
27,대성산업(주)오류동충전소,서울특별시  구로구 경인로8길 31,서울특별시  구로구 경인로8길 31,37.5380425,126.7280496,오류제2동
28,강서가스충전소,서울특별시  강서구 벌말로 266(오곡동),서울특별시  강서구 벌말로 266,37.5549768,126.766738,공항동
29,기린에너지,서울특별시  영등포구 선유로52길 5 기린충전소,서울특별시  영등포구 선유로52길 5,37.5362563,126.8967643,양평제2동
30,동일석유(주)남부충전소,서울특별시  구로구 시흥대로 573,서울특별시  구로구 시흥대로 573,37.4842727,126.8997642,구로제3동
31,대양가스충전소,서울특별시  강서구 양천로 551 대양가스충전소,서울특별시  강서구 양천로 551,37.5583883,126.8585873,가양제3동
32,동일석유(주)동주충전소,서울특별시  동작구 상도로 74 가동,서울특별시  동작구 상도로 74,37.4994173,126.9266463,대방동
33,(주)에너지플러스 오곡동충전소,서울특별시  강서구 벌말로 271 (사무소),서울특별시  강서구 벌말로 271,37.555591,126.7660194,공항동
34,공항로충전소,서울특별시  강서구 공항대로 468 공항로충전소,서울특별시  강서구 공항대로 468,37.55334,126.8564504,등촌제2동
35,신림충전소,서울특별시  관악구 신림로 170(신림동),서울특별시  관악구 신림로 170,37.4735388,126.9319687,서림동
36,한일가스산업(주),서울특별시  구로구 경인로 537 한일가스충전소,서울특별시  구로구 경인로 537,37.5018823,126.8756656,구로제2동
37,(주)대흥가스,서울특별시  양천구 남부순환로 411,서울특별시  양천구 남부순환로 411,37.5310765,126.8297391,신월1동
38,개봉충전소,서울특별시  구로구 경인로 364 개봉LPG충전소,서울특별시  구로구 경인로 364,37.4964212,126.8583566,개봉제1동
39,양평동충전소,서울특별시  영등포구 선유로 157 LPG 충전소,서울특별시  영등포구 선유로 157,37.5279356,126.8889105,양평제1동
40,대흥에너지산업(주),서울특별시  강서구 곰달래로24길 19,서울특별시  강서구 곰달래로24길 19,37.5297238,126.8450293,화곡제1동
41,비케이서비스산업(주),서울특별시  양천구 남부순환로 311 액화석유가스충전소,서울특별시  양천구 남부순환로 311,37.5389711,126.8244415,신월5동
42,한경에너지,서울특별시  강서구 개화동로 255 LPG 충전소,서울특별시  강서구 개화동로 255,37.5706795,126.7948821,방화제2동
43,명화가스(주),서울특별시  관악구 관악로 96,서울특별시  관악구 관악로 96,37.4736762,126.9512765,낙성대동
44,(주)남양가스,서울특별시  양천구 남부순환로 538 남양가스충전소,서울특별시  양천구 남부순환로 538,37.5205794,126.8350239,신월7동
45,목동충전소,서울특별시  양천구 목동로 193 SK충전소,서울특별시  양천구 목동로 193,37.5256,126.8618748,신정4동
46,복지개화충전소,서울특별시  강서구 개화동로 416,서울특별시  강서구 개화동로 416,37.5747135,126.7995575,방화제2동
47,복지마곡충전소,서울특별시  강서구 양천로 200,서울특별시  강서구 양천로 200,37.5651159,126.8065389,가양제1동
48,대영가스 충전소,서울특별시  강서구 양천로 242 A동(충전소사무동),서울특별시  강서구 양천로 242,37.5651159,126.8065389,가양제1동
49,복지장안충전소,서울특별시  동대문구 한천로 169,서울특별시  동대문구 한천로 169,37.5761538,127.0650373,답십리2동
50,신내LPG충전소,서울특별시  중랑구 용마산로 691,서울특별시  중랑구 용마산로 691,37.6127083,127.0986253,신내1동
51,동원가스충전소,서울특별시  도봉구 도봉로 430 (창동) 동원충전소,서울특별시  도봉구 도봉로 430,37.6442559,127.0303566,창2동
52,(주)청학에너지,서울특별시  강북구 한천로 833,서울특별시  강북구 한천로 833,37.628133,127.0418651,번3동
53,해양가스,서울특별시  광진구 자양로 77 해양가스,서울특별시  광진구 자양로 77,37.5345877,127.081491,자양1동
54,신성에너지주식회사,서울특별시  노원구 동일로 1113 신성에너지(주),서울특별시  노원구 동일로 1113,37.6290624,127.06866,54
55,서울와사공업(주),서울특별시  강북구 도봉로 318 SK LPG 충전소,서울특별시  강북구 도봉로 318,37.6361977,127.0223295,번1동
56,(주)풍림에너지,서울특별시  중랑구 동일로 553 ,서울특별시  중랑구 동일로 553,37.5796396,127.0770502,면목제5동
57,케이와이에너지 (주)한영충전소,서울특별시  도봉구 도봉로 627,서울특별시  도봉구 도봉로 627,37.6605626,127.0391747,쌍문2동
58,국제가스공업(주),서울특별시  강북구 덕릉로24길 6,서울특별시  강북구 덕릉로24길 6,37.6342897,127.0196568,수유1동
59,대성산업(주)동부충전소,서울특별시  성동구 광나루로 200,서울특별시  성동구 광나루로 200,37.5504541,127.0501927,성수2가3동
60,수도에너지(주)동서울충전소,서울특별시  동대문구 망우로 57,서울특별시  동대문구 망우로 57,37.5896355,127.0572487,휘경1동
61,(주)평안에너지 도봉충전소,서울특별시  도봉구 도봉로 983,서울특별시  도봉구 도봉로 983,37.6669495,127.0037197,도봉1동
62,(주)노일가스,서울특별시  노원구 동일로 1601 동일로가스,서울특별시  노원구 동일로 1601,37.6714118,127.0533609,상계1동
63,(주)평안에너지상계충전소,서울특별시  노원구 동일로210길 86 상계충전소,서울특별시  노원구 동일로210길 86,37.6491705,127.0648569,중계2·3동
64,동일석유(주)황금충전소,서울특별시  중랑구 망우로 209,서울특별시  중랑구 망우로 209,37.5941469,127.0736578,중화제2동
65,망우충전소,서울특별시  중랑구 망우로 449,서울특별시  중랑구 망우로 449,37.6005662,127.0997273,망우본동
66,복지공릉충전소,서울특별시  노원구 화랑로 826 (공릉동),서울특별시  노원구 화랑로 826,37.6387974,127.1073596,공릉2동
67,(주)홍릉가스충전소,서울특별시  동대문구 회기로 44 ,서울특별시  동대문구 회기로 44,37.591046,127.0390423,청량리동
68,덕마가스충전소,서울특별시  성동구 왕십리로 124 (성수동1가),서울특별시  성동구 왕십리로 124,37.5487108,127.0427275,성수1가2동
69,현대오일뱅크 중곡동충전소,서울특별시  광진구 동일로 323 중곡충전소,서울특별시  광진구 동일로 323,37.5600492,127.0715211,69
70,우일에너지(주),서울특별시  성북구 종암로 201 우일에너지,서울특별시  성북구 종암로 201,37.6079111,127.0280595,길음제2동
71,(주)장위가스,서울특별시  성북구 화랑로 291,서울특별시  성북구 화랑로 291,37.6132323,127.0584353,장위제3동
72,한양에너지(주),서울특별시  광진구 동일로 381 한양에너지(주),서울특별시  광진구 동일로 381,37.5649577,127.0743513,중곡1동
73,(주)에스케이행복에너지,서울특별시  도봉구 도봉로 690,서울특별시  도봉구 도봉로 690,37.6657713,127.0413803,방학1동
74,태능가스(주),서울특별시  노원구 화랑로 405 태능가스충전소,서울특별시  노원구 화랑로 405,37.6169558,127.0703365,공릉1동
75,장안동가스충전소,서울특별시  동대문구 천호대로 353 장안동가스충전소,서울특별시  동대문구 천호대로 353,37.5628972,127.0564677,장안1동
76,복지노원충전소,서울특별시  노원구 동일로 1778,서울특별시  노원구 동일로 1778,37.6868658,127.0536446,상계1동
