자치구,동_x,㎡당 매매평균가,㎡당 전세평균가,two,one,동_y,면적
중랑구,망우3동,417,292,망우,망,망우3동,0.99
중랑구,망우본동,417,292,망우,망,망우본동,2.88
중랑구,면목2동,460,311,면목,면,면목2동,0.73
중랑구,면목3.8동,460,311,면목,면,면목3.8동,1.67
중랑구,면목4동,460,311,면목,면,면목4동,1.11
중랑구,면목5동,460,311,면목,면,면목5동,0.64
중랑구,면목7동,460,311,면목,면,면목7동,0.87
중랑구,면목본동,460,311,면목,면,면목본동,1.01
중랑구,묵1동,476,336,묵동,묵,1.2,
중랑구,묵2동,476,336,묵동,묵,0.7,
중랑구,상봉1동,496,346,상봉,상,상봉1동,0.85
중랑구,상봉2동,496,346,상봉,상,상봉2동,0.68
중랑구,신내1동,446,301,신내,신,신내1동,2.53
중랑구,신내2동,446,301,신내,신,신내2동,0.99
중랑구,중화1동,470,316,중화,중,중화1동,0.68
중랑구,중화2동,470,316,중화,중,중화2동,0.98
중구,명동,531,365,충무,충,,
중구,을지로동,531,365,충무,충,,
중구,다산동,702,472.5,충무,충,,
중구,약수동,702,472.5,충무,충,,
중구,청구동,702,472.5,충무,충,,
중구,동화동,702,472.5,충무,충,,
중구,광희동,473,305.5,충무,충,,
중구,소공동,921,607,순화,순,,
중구,신당5동,788,466,신당,신,신당5동,0.39
중구,신당동,702,472.5,신당,신,신당동,0.55
중구,장충동,534,386,묵정,묵,,
중구,중림동,941,525.5,중림,중,중림동,0.48
중구,필동,531,365,묵정,묵,,
중구,황학동,690,488,황학,황,황학동,0.33
중구,회현동,794,538,회현,회,회현동,0.84
종로구,삼청동,716,442,교북,교,,
종로구,가회동,716,442,교북,교,,
종로구,교남동,1065.75,600,교북,교,,
종로구,무악동,809,503,무악,무,무악동,0.36
종로구,부암동,345,214,신영,신,,
종로구,사직동,756,495,사직,사,사직동,1.23
종로구,숭인1동,697,467,숭인,숭,숭인1동,0.23
종로구,숭인2동,697,467,숭인,숭,숭인2동,0.35
종로구,이화동,729,544,연건,연,,
종로구,종로1.2.3.4가동,511,356,견지,견,,
종로구,종로5·6가동,511,356,견지,견,,
종로구,창신1동,556,334,창신,창,창신1동,0.31
종로구,창신2동,556,334,창신,창,창신2동,0.26
종로구,창신3동,556,334,창신,창,창신3동,0.23
종로구,청운효자동,716,442,청운,청,청운효자동,2.57
종로구,평창동,421,277,평창,평,평창동,8.87
종로구,혜화동,614,462,명륜,명,,
은평구,신사동,400,280,갈현,갈,갈현1동,0.97
은평구,갈현1동,342,219,갈현,갈,갈현1동,0.97
은평구,갈현2동,342,219,갈현,갈,갈현2동,0.96
은평구,구산동,356,253,구산,구,구산동,1.38
은평구,녹번동,742,417,녹번,녹,녹번동,1.79
은평구,대조동,409,296,대조,대,대조동,0.85
은평구,불광1동,603,355,불광,불,불광1동,3.13
은평구,불광2동,603,355,불광,불,불광2동,1.38
은평구,수색동,556,319,수색,수,수색동,1.29
은평구,신사1동,400,280,신사,신,신사1동,0.84
은평구,신사2동,400,280,신사,신,신사2동,1
은평구,역촌동,448,308,역촌,역,역촌동,1.16
은평구,응암1동,568,357,응암,응,응암1동,1.2
은평구,응암2동,568,357,응암,응,응암2동,0.78
은평구,응암3동,568,357,응암,응,응암3동,0.63
은평구,증산동,522,326,증산,증,증산동,0.81
은평구,진관동,595,371,진관,진,진관동,11.53
용산구,청파동,1024,567,동자,동,,
용산구,남영동,780,488,동자,동,,
용산구,보광동,997,399,보광,보,보광동,0.71
용산구,서빙고동,1253,454,서빙,서,서빙고동,2.8
용산구,용문동,910,486.5,용문,용,용문동,0.28
용산구,용산2가동,953.5,470.5,용산,용,용산2가동,1.96
용산구,원효로1동,907,520,원효,원,원효로1동,0.59
용산구,원효로2동,911,447,원효,원,원효로1동,0.59
용산구,이촌1동,1232,518,이촌,이,이촌1동,2.86
용산구,이촌2동,1232,518,이촌,이,이촌2동,1.22
용산구,이태원1동,991,395,이태,이,이태원1동,0.57
용산구,이태원2동,991,395,이태,이,이태원2동,0.86
용산구,한강로동,1011,512,한강,한,한강로동,2.9
용산구,한남동,1130,683,한남,한,한남동,3.01
용산구,효창동,1024,567,효창,효,효창동,0.44
용산구,후암동,846,315,후암,후,후암동,0.86
영등포구,당산1동,664,432,당산,당,당산1동,0.75
영등포구,당산2동,784,467,당산,당,당산1동,0.75
영등포구,대림1동,547,336,대림,대,대림1동,0.49
영등포구,대림2동,547,336,대림,대,대림2동,0.55
영등포구,대림3동,547,336,대림,대,대림3동,0.95
영등포구,도림동,660,417,도림,도,도림동,0.89
영등포구,문래동,580,343,문래,문,문래동,1.49
영등포구,신길1동,741,368,신길,신,신길1동,0.66
영등포구,신길3동,741,368,신길,신,신길3동,0.52
영등포구,신길4동,741,368,신길,신,신길4동,0.35
영등포구,신길5동,741,368,신길,신,신길5동,0.47
영등포구,신길6동,741,368,신길,신,신길6동,0.68
영등포구,신길7동,741,368,신길,신,신길7동,0.64
영등포구,양평1동,618,370,양평,양,양평1동,0.88
영등포구,양평2동,595,357,양평,양,양평1동,0.88
영등포구,여의동,1209,445,여의,여,여의동,8.4
영등포구,영등포동,674,472,영등,영,영등포동,1.26
영등포구,영등포본동,737,390,영등,영,영등포동,1.26
양천구,목1동,1003,523,목동,목,,
양천구,목2동,1003,523,목동,목,,
양천구,목3동,1003,523,목동,목,,
양천구,목4동,1003,523,목동,목,,
양천구,목5동,1003,523,목동,목,,
양천구,신월1동,437,274,신월,신,신월1동,0.65
양천구,신월2동,437,274,신월,신,신월2동,0.61
양천구,신월3동,437,274,신월,신,신월3동,0.87
양천구,신월4동,437,274,신월,신,신월4동,0.52
양천구,신월5동,437,274,신월,신,신월5동,0.69
양천구,신월6동,437,274,신월,신,신월6동,0.41
양천구,신월7동,437,274,신월,신,신월7동,1.19
양천구,신정1동,855,432,신정,신,신정1동,0.7
양천구,신정2동,855,432,신정,신,신정2동,0.52
양천구,신정3동,855,432,신정,신,신정3동,2.72
양천구,신정4동,855,432,신정,신,신정4동,1.01
양천구,신정6동,855,432,신정,신,신정6동,0.96
양천구,신정7동,855,432,신정,신,신정7동,1.21
송파구,가락1동,1108,555,가락,가,가락1동,1.34
송파구,가락2동,1108,555,가락,가,가락2동,0.96
송파구,가락본동,1108,555,가락,가,가락본동,1.13
송파구,거여1동,664,364,거여,거,거여1동,0.51
송파구,거여2동,664,364,거여,거,거여2동,0.53
송파구,마천1동,593,344,마천,마,마천1동,0.58
송파구,마천2동,593,344,마천,마,마천2동,0.89
송파구,문정1동,916,420,문정,문,문정1동,0.56
송파구,문정2동,916,420,문정,문,문정2동,2.2
송파구,방이1동,1101,489,방이,방,방이1동,0.5
송파구,방이2동,1101,489,방이,방,방이2동,0.8
송파구,삼전동,662,360,삼전,삼,삼전동,0.95
송파구,석촌동,790,490,석촌,석,석촌동,0.95
송파구,송파1동,900,436,송파,송,송파1동,0.79
송파구,송파2동,900,436,송파,송,송파2동,0.53
송파구,오륜동,1101,489,오금,오,오금동,1.65
송파구,위례동,664,364,오금,오,오금동,1.65
송파구,오금동,816,425,오금,오,오금동,1.65
송파구,잠실2동,1561,673,잠실,잠,잠실2동,2.18
송파구,잠실3동,1561,673,잠실,잠,잠실3동,1.49
송파구,잠실4동,1464,655,잠실,잠,잠실4동,1.56
송파구,잠실6동,1464,655,잠실,잠,잠실6동,2.79
송파구,잠실7동,1561,673,잠실,잠,잠실7동,0.6
송파구,잠실본동,1561,673,잠실,잠,잠실본동,0.94
송파구,장지동,967,497,장지,장,장지동,1.37
송파구,풍납1동,701,406,풍납,풍,풍납1동,0.77
송파구,풍납2동,701,406,풍납,풍,풍납2동,1.59
성북구,길음1동,694,409,길음,길,길음1동,0.79
성북구,길음2동,624.5,383.5,길음,길,길음2동,0.58
성북구,돈암1동,520,344,돈암,돈,돈암1동,0.49
성북구,돈암2동,520,344,돈암,돈,돈암2동,0.48
성북구,동선동,622,423,동소,동,,
성북구,보문동,653,423,보문,보,보문동,0.56
성북구,삼선동,612,445.5,삼선,삼,삼선동,0.92
성북구,석관동,580,353,석관,석,석관동,1.73
성북구,성북동,457,351,동소,동,,
성북구,안암동,400,268,안암,안,안암동,1.33
성북구,월곡1동,555,358,하월,하,,
성북구,월곡2동,502,331,상월,상,,
성북구,장위1동,628,349,장위,장,장위1동,0.7
성북구,장위2동,628,349,장위,장,장위2동,0.67
성북구,장위3동,628,349,장위,장,장위3동,0.65
성북구,정릉1동,458,317,정릉,정,정릉1동,0.44
성북구,정릉2동,458,317,정릉,정,정릉2동,1.17
성북구,정릉3동,458,317,정릉,정,정릉3동,3.71
성북구,정릉4동,458,317,정릉,정,정릉4동,3.13
성북구,종암동,592,392,종암,종,종암동,1.46
성동구,금호1가동,845,489,금호,금,금호1가동,0.46
성동구,금호2.3가동,915,535.5,금호,금,금호1가동,0.46
성동구,금호4가동,1005,583,금호,금,금호1가동,0.46
성동구,마장동,684,389,마장,마,마장동,1.06
성동구,사근동,471,320,사근,사,사근동,1.11
성동구,성수1가1동,1035,562,성수,성,성수1가1동,1.98
성동구,성수1가2동,1035,562,성수,성,성수1가1동,1.98
성동구,성수2가1동,865,448,성수,성,성수1가2동,0.89
성동구,성수2가3동,865,448,성수,성,성수1가2동,0.89
성동구,송정동,516,343,송정,송,송정동,0.68
성동구,옥수동,1059,558,옥수,옥,옥수동,1.95
성동구,왕십리2동,859,513,하왕,하,,
성동구,왕십리도선동,756,477,도선,도,,
성동구,용답동,467,359,용답,용,용답동,2.32
성동구,응봉동,742,389,응봉,응,응봉동,0.57
성동구,행당1동,850,485,행당,행,행당1동,0.59
성동구,행당2동,850,485,행당,행,행당2동,0.42
서초구,내곡동,1018,534,내곡,내,내곡동,12.68
서초구,반포1동,2064,768,반포,반,반포1동,1
서초구,반포2동,2064,768,반포,반,반포2동,1.35
서초구,반포3동,2064,768,반포,반,반포3동,1.28
서초구,반포4동,2064,768,반포,반,반포4동,1.43
서초구,반포본동,2064,768,반포,반,반포본동,1.01
서초구,방배1동,1052,576,방배,방,방배1동,0.7
서초구,방배2동,1052,576,방배,방,방배2동,1.93
서초구,방배3동,1052,576,방배,방,방배3동,2.4
서초구,방배4동,1052,576,방배,방,방배4동,0.98
서초구,방배본동,1052,576,방배,방,방배본동,0.67
서초구,서초1동,1118,591,서초,서,서초1동,1.42
서초구,서초2동,1118,591,서초,서,서초2동,1.24
서초구,서초3동,1118,591,서초,서,서초3동,2.93
서초구,서초4동,1118,591,서초,서,서초4동,0.88
서초구,양재1동,993.5,526.5,양재,양,양재1동,5.76
서초구,양재2동,1036,516,양재,양,양재2동,7.58
서초구,잠원동,1768,601,잠원,잠,잠원동,1.76
서대문구,남가좌1동,708,426,남가,남,남가좌1동,0.51
서대문구,남가좌2동,708,426,남가,남,남가좌2동,0.77
서대문구,북가좌1동,632,395,북가,북,북가좌1동,0.52
서대문구,북가좌2동,632,395,북가,북,북가좌2동,0.84
서대문구,북아현동,979,527,북아,북,북아현동,0.97
서대문구,신촌동,651,402,대현,대,,
서대문구,연희동,561,372,연희,연,연희동,3.05
서대문구,천연동,746,460,냉천,냉,,
서대문구,충현동,543,357,미근,미,,
서대문구,홍은1동,456,304,홍은,홍,홍은1동,1.58
서대문구,홍은2동,456,304,홍은,홍,홍은2동,2.06
서대문구,홍제1동,562,341,홍제,홍,홍제1동,1.23
서대문구,홍제2동,562,341,홍제,홍,홍제2동,0.81
서대문구,홍제3동,562,341,홍제,홍,홍제3동,1.05
마포구,공덕동,938,539,공덕,공,공덕동,0.76
마포구,대흥동,736,508,대흥,대,대흥동,0.88
마포구,도화동,710.5,396.5,도화,도,도화동,0.62
마포구,망원1동,638,427,망원,망,망원1동,1.13
마포구,망원2동,638,427,망원,망,망원2동,0.67
마포구,상암동,777,475,상암,상,상암동,8.4
마포구,서강동,889,524,상수,상,,
마포구,서교동,765,574,서교,서,서교동,1.65
마포구,성산1동,828,348,성산,성,성산1동,0.8
마포구,성산2동,732.5,375,성산,성,성산2동,2.07
마포구,신수동,819,483,신수,신,신수동,0.78
마포구,아현동,1169,626,아현,아,아현동,1.01
마포구,연남동,775,483,연남,연,연남동,0.64
마포구,염리동,938,529,염리,염,염리동,0.43
마포구,용강동,915,509,용강,용,용강동,0.84
마포구,합정동,891,642,합정,합,합정동,1.72
동작구,노량진1동,706,414.5,노량,노,노량진1동,1.58
동작구,노량진2동,666,388,노량,노,노량진2동,0.64
동작구,대방동,726,431,대방,대,대방동,1.55
동작구,사당1동,757,429,사당,사,사당1동,0.79
동작구,사당2동,815.5,491,사당,사,사당2동,2.75
동작구,사당3동,757,429,사당,사,사당3동,0.92
동작구,사당4동,757,429,사당,사,사당4동,0.38
동작구,사당5동,757,429,사당,사,사당5동,0.57
동작구,상도1동,796,486,상도,상,상도1동,1.51
동작구,상도2동,796,486,상도,상,상도2동,0.98
동작구,상도3동,796,486,상도,상,상도3동,0.6
동작구,상도4동,796,486,상도,상,상도4동,0.75
동작구,신대방1동,613,387,신대,신,신대방1동,0.62
동작구,신대방2동,613,387,신대,신,신대방2동,1.03
동작구,흑석동,1003,530,흑석,흑,흑석동,1.68
동대문구,답십리1동,699,411,답십,답,답십리1동,0.81
동대문구,답십리2동,699,411,답십,답,답십리2동,0.85
동대문구,용신동,647,452,신설,신,,
동대문구,이문1동,540,347,이문,이,이문1동,1.04
동대문구,이문2동,540,347,이문,이,이문2동,0.69
동대문구,장안1동,568,382,장안,장,장안1동,1.25
동대문구,장안2동,568,382,장안,장,장안2동,1.09
동대문구,전농1동,719,389,전농,전,전농1동,1.19
동대문구,전농2동,719,389,전농,전,전농2동,0.86
동대문구,제기동,564,342,제기,제,제기동,1.18
동대문구,청량리동,646,284,청량,청,청량리동,1.2
동대문구,회기동,578,394,회기,회,회기동,0.76
동대문구,휘경1동,549,347,휘경,휘,휘경1동,0.63
동대문구,휘경2동,549,347,휘경,휘,휘경2동,1.05
도봉구,도봉1동,373,254,도봉,도,도봉1동,0.74
도봉구,도봉2동,373,254,도봉,도,도봉2동,2.64
도봉구,방학1동,368,256,방학,방,방학1동,0.7
도봉구,방학2동,368,256,방학,방,방학2동,8.72
도봉구,방학3동,368,256,방학,방,방학3동,0.83
도봉구,쌍문1동,370,259,쌍문,쌍,쌍문1동,0.88
도봉구,쌍문2동,370,259,쌍문,쌍,쌍문2동,1.07
도봉구,쌍문3동,370,259,쌍문,쌍,쌍문3동,0.67
도봉구,쌍문4동,370,259,쌍문,쌍,쌍문4동,0.96
도봉구,창1동,535,286,창동,창,,
도봉구,창2동,535,286,창동,창,,
도봉구,창3동,535,286,창동,창,,
도봉구,창4동,535,286,창동,창,,
도봉구,창5동,535,286,창동,창,,
노원구,공릉1동,452,313,공릉,공,공릉1동,1.41
노원구,공릉2동,452,313,공릉,공,공릉2동,6.82
노원구,상계10동,508,270,상계,상,상계10동,0.8
노원구,상계1동,508,270,상계,상,상계1동,5.62
노원구,상계2동,508,270,상계,상,상계2동,0.61
노원구,상계3.4동,508,270,상계,상,상계3.4동,5.05
노원구,상계5동,508,270,상계,상,상계5동,1.01
노원구,상계6.7동,508,270,상계,상,상계6.7동,1.11
노원구,상계8동,508,270,상계,상,상계8동,0.67
노원구,상계9동,508,270,상계,상,상계9동,0.81
노원구,월계1동,518,276,월계,월,월계1동,1.16
노원구,월계2동,518,276,월계,월,월계2동,1.94
노원구,월계3동,518,276,월계,월,월계3동,1.17
노원구,중계1동,530,326,중계,중,중계1동,0.63
노원구,중계2.3동,530,326,중계,중,중계2.3동,1.7
노원구,중계4동,530,326,중계,중,중계4동,0.9
노원구,중계본동,530,326,중계,중,중계본동,1.97
노원구,하계1동,536,329,하계,하,하계1동,1.55
노원구,하계2동,536,329,하계,하,하계2동,0.51
금천구,가산동,456,296,가산,가,가산동,2.52
금천구,독산1동,521,335,독산,독,독산1동,2.09
금천구,독산2동,521,335,독산,독,독산2동,0.6
금천구,독산3동,521,335,독산,독,독산3동,0.92
금천구,독산4동,521,335,독산,독,독산4동,0.59
금천구,시흥1동,419,270,시흥,시,시흥1동,1.71
금천구,시흥2동,419,270,시흥,시,시흥2동,1.26
금천구,시흥3동,419,270,시흥,시,시흥3동,1.07
금천구,시흥4동,419,270,시흥,시,시흥4동,0.87
금천구,시흥5동,419,270,시흥,시,시흥5동,1.39
구로구,가리봉동,315,250,가리,가,가리봉동,0.4
구로구,개봉1동,455,310,개봉,개,개봉1동,1.31
구로구,개봉2동,455,310,개봉,개,개봉2동,0.8
구로구,개봉3동,455,310,개봉,개,개봉3동,0.81
구로구,고척1동,459,306,고척,고,고척1동,1.16
구로구,고척2동,459,306,고척,고,고척2동,1.02
구로구,구로1동,527,331,구로,구,구로1동,1.02
구로구,구로2동,527,331,구로,구,구로2동,1.76
구로구,구로3동,527,331,구로,구,구로3동,1.02
구로구,구로4동,527,331,구로,구,구로4동,0.46
구로구,구로5동,527,331,구로,구,구로5동,1.03
구로구,수궁동,436,329.5,온수,온,,
구로구,신도림동,701,435,신도,신,신도림동,1.47
구로구,오류1동,430,313,오류,오,오류1동,0.59
구로구,오류2동,449,327,오류,오,오류2동,4.6
광진구,능동,789,471,광장,광,광장동,2.39
광진구,광장동,897,501,광장,광,광장동,2.39
광진구,구의1동,789,471,구의,구,구의1동,0.56
광진구,구의2동,789,471,구의,구,구의2동,1.39
광진구,구의3동,789,471,구의,구,구의3동,1.02
광진구,군자동,499,332,군자,군,군자동,0.74
광진구,자양1동,773,466,자양,자,자양1동,0.57
광진구,자양2동,773,466,자양,자,자양2동,1.68
광진구,자양3동,773,466,자양,자,자양3동,1.2
광진구,자양4동,773,466,자양,자,자양4동,1.16
광진구,중곡1동,444,281,중곡,중,중곡1동,0.62
광진구,중곡2동,444,281,중곡,중,중곡2동,0.55
광진구,중곡3동,444,281,중곡,중,중곡3동,0.6
광진구,중곡4동,444,281,중곡,중,중곡4동,2.32
광진구,화양동,702,536,화양,화,화양동,1.16
관악구,난향동,602,384,봉천,봉,,
관악구,서림동,602,384,봉천,봉,,
관악구,보라매동,602,384,봉천,봉,,
관악구,서원동,487,312,봉천,봉,,
관악구,대학동,602,384,봉천,봉,,
관악구,난곡동,487,312,봉천,봉,,
관악구,삼성동,602,384,봉천,봉,,
관악구,미성동,487,312,봉천,봉,,
관악구,조원동,487,312,봉천,봉,,
관악구,신사동,487,312,봉천,봉,,
관악구,신원동,487,312,봉천,봉,,
관악구,낙성대동,602,384,봉천,봉,,
관악구,남현동,604,456,남현,남,남현동,3.27
관악구,성현동,602,384,봉천,봉,,
관악구,신림동,487,312,신림,신,신림동,0.96
관악구,은천동,602,384,봉천,봉,,
관악구,인헌동,602,384,봉천,봉,,
관악구,중앙동,602,384,봉천,봉,,
관악구,청룡동,602,384,봉천,봉,,
관악구,청림동,602,384,봉천,봉,,
관악구,행운동,602,384,봉천,봉,,
강서구,발산1동,784,381.5,가양,가,가양1동,1.36
강서구,가양1동,784,381.5,가양,가,가양1동,1.36
강서구,가양2동,684,343,가양,가,가양2동,4.7
강서구,가양3동,684,343,가양,가,가양3동,1
강서구,공항동,529,334,공항,공,공항동,10.87
강서구,등촌1동,621,357,등촌,등,등촌1동,0.59
강서구,등촌2동,621,357,등촌,등,등촌2동,0.92
강서구,등촌3동,621,357,등촌,등,등촌3동,0.79
강서구,방화1동,549,309,방화,방,방화1동,1.04
강서구,방화2동,549,309,방화,방,방화2동,6.41
강서구,방화3동,549,309,방화,방,방화3동,2.38
강서구,염창동,632,393,염창,염,염창동,1.74
강서구,우장산동,759,425,내발,내,,
강서구,화곡1동,613,390,화곡,화,화곡1동,1.11
강서구,화곡2동,613,390,화곡,화,화곡2동,1.12
강서구,화곡3동,613,390,화곡,화,화곡3동,0.47
강서구,화곡4동,613,390,화곡,화,화곡4동,0.51
강서구,화곡6동,613,390,화곡,화,화곡6동,1.12
강서구,화곡8동,613,390,화곡,화,화곡8동,0.53
강서구,화곡본동,613,390,화곡,화,화곡본동,0.82
강북구,인수동,419,260,미아,미,미아동,0.73
강북구,삼각산동,522,332,미아,미,미아동,0.73
강북구,송천동,522,332,미아,미,미아동,0.73
강북구,송중동,522,332,미아,미,미아동,0.73
강북구,삼양동,522,332,미아,미,미아동,0.73
강북구,미아동,522,332,미아,미,미아동,0.73
강북구,번1동,419,260,번동,번,,
강북구,번2동,419,260,번동,번,,
강북구,번3동,419,260,번동,번,,
강북구,수유1동,392,264,수유,수,수유1동,1.07
강북구,수유2동,392,264,수유,수,수유2동,0.73
강북구,수유3동,392,264,수유,수,수유3동,0.86
강북구,우이동,375,266,우이,우,우이동,10.95
강동구,강일동,618,332,강일,강,강일동,2.8
강동구,고덕1동,869,465,고덕,고,고덕1동,1.73
강동구,고덕2동,869,465,고덕,고,고덕2동,2.01
강동구,길동,616,364,길동,길,길동,2.17
강동구,둔촌1동,1335,399,둔촌,둔,둔촌1동,0.92
강동구,둔촌2동,1335,399,둔촌,둔,둔촌2동,0.98
강동구,명일1동,822,370,명일,명,명일1동,0.61
강동구,명일2동,822,370,명일,명,명일2동,0.97
강동구,상일동,742,413,상일,상,상일동,2.65
강동구,성내1동,622,419,성내,성,성내1동,0.58
강동구,성내2동,622,419,성내,성,성내2동,0.67
강동구,성내3동,622,419,성내,성,성내3동,0.71
강동구,암사1동,735,429,암사,암,암사1동,1.02
강동구,암사2동,735,429,암사,암,암사2동,1.18
강동구,암사3동,735,429,암사,암,암사3동,2.51
강동구,천호1동,601,387,천호,천,천호1동,0.71
강동구,천호2동,601,387,천호,천,천호2동,1.57
강동구,천호3동,601,387,천호,천,천호3동,0.79
강남구,개포1동,2538,563,개포,개,개포1동,1.27
강남구,개포2동,2538,563,개포,개,개포2동,2.51
강남구,개포4동,2538,563,개포,개,개포4동,1.49
강남구,논현1동,1079,577,논현,논,논현1동,1.25
강남구,논현2동,1079,577,논현,논,논현2동,1.47
강남구,대치1동,1672,710,대치,대,대치1동,0.79
강남구,대치2동,1672,710,대치,대,대치2동,2
강남구,대치4동,1672,710,대치,대,대치4동,0.73
강남구,도곡1동,1246,671,도곡,도,도곡1동,1.02
강남구,도곡2동,1246,671,도곡,도,도곡2동,1.02
강남구,삼성1동,1519,729,삼성,삼,삼성1동,1.94
강남구,삼성2동,1519,729,삼성,삼,삼성2동,1.24
강남구,세곡동,993,500,세곡,세,세곡동,2.58
강남구,수서동,1292,539,수서,수,수서동,6.36
강남구,신사동,1071,602,신사,신,신사동,1.89
강남구,압구정동,1906,552,압구,압,압구정동,2.53
강남구,역삼1동,1332,762,역삼,역,역삼1동,2.35
강남구,역삼2동,1332,762,역삼,역,역삼2동,1.15
강남구,일원1동,1379,585,일원,일,일원1동,1.24
강남구,일원2동,1379,585,일원,일,일원2동,1.43
강남구,일원본동,1379,585,일원,일,일원본동,0.92
강남구,청담동,1514,630,청담,청,청담동,2.33
