,행정동,충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,Unnamed: 21,0
73,가산동,가산동 공영주차장,가산동 공영주차장 2층,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 시흥대로153길 53,서울특별시 금천구 가산동 148-28,서울시(한국자동차환경협회),1661-9408,37.476695,126.895518,2019-05-31,3170000,서울특별시 금천구,,
74,독산제1동,시티렉스,시티렉스,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 시흥대로 399,서울특별시 금천구 독산동 291-5,한국전기차충전서비스,1522-1782,37.4693273,126.897052,2019-05-31,3170000,서울특별시 금천구,,
75,시흥제1동,기아 시흥 서비스센터,기아 시흥 서비스센터,서울특별시,토일,08:30,17:30,N,Y,DC차데모,0.0,1.0,N,서울특별시 금천구 시흥대로51길 20,서울특별시 금천구 시흥동 992-28,기아자동차,02-804-8585,37.4517561,126.89937,2019-05-31,3170000,서울특별시 금천구,,
76,가산동,대륭테크노타운2차,지하주차장 출구측,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 가산디지털1로 33-33,서울특별시 금천구 가산동 569-21,한국전력,1899-2100,37.468407,126.8846233,2019-05-31,3170000,서울특별시 금천구,,
77,시흥제1동,금천구청,금천구청 후정,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,한국전력,1899-2100,37.4567667,126.8954005,2019-05-31,3170000,서울특별시 금천구,,
78,독산제1동,시흥4동 공영주차장,시흥4동 공영주차장 지하1층,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,"서울특별시 금천구 독산로 36나길 21, B1 18",서울특별시 금천구 독산동 1006-102,환경부(한국자동차환경협회),1661-9408,37.459686700000006,126.909022,2019-05-31,3170000,서울특별시 금천구,,
79,독산제1동,홈플러스 금천점,홈플러스 금천점,서울특별시,"2,4째 일요일",10:00,23:59,N,Y,DC콤보,0.0,2.0,Y,서울특별시 금천구 시흥대로 391,서울특별시 금천구 독산동 291-7,환경부(한국자동차환경협회),1661-9408,37.4686493,126.8968106,2019-05-31,3170000,서울특별시 금천구,,
80,독산제1동,동일테크노타운2차,동일테크노타운2차,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 범안로17길 61,서울특별시 금천구 독산동 330-6,한국전력,1899-2100,37.4691723,126.8933764,2019-05-31,3170000,서울특별시 금천구,,
81,가산동,마리오아울렛3관,지하주차장2층,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,2.0,Y,서울특별시 금천구 벚꽃로 266,서울특별시 금천구 가산동 60-20,한국전기차충전서비스,1522-1782,37.47859920000001,126.8851547,2019-05-31,3170000,서울특별시 금천구,,
82,마장동,마장동사무소 앞(공중전화부스),마장동사무소 앞,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,N,서울특별시 성동구 마장로44길 3,서울특별시 성동구 마장동 808,환경부(한국자동차환경협회),1661-9408,37.5672028,127.04546,2019-06-03,3030000,서울특별시 성동구,,
83,성수1가1동,헤이그라운드,헤이그라운드,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,서울특별시 성동구 뚝섬로1나길 5 (성수동1가) 헤이그라운드,서울특별시 성동구 성수동1가 22-8,에버온,1661-7766,37.5444735277,127.047743,2019-06-03,3030000,서울특별시 성동구,,
84,용답동,서울새활용플라자,서울새활용플라자,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,3.0,0.0,N,서울특별시 성동구 자동차시장길 49 지하 2층 주차장 벽면(용답동 250-14번지 지하 2층 주차장 벽면),서울특별시 성동구 용답동 250-14,지엔텔,1544-4279,37.5585626,127.0582435,2019-06-03,3030000,서울특별시 성동구,,
85,행당1동,동부수도사업소,동부수도사업소,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,4.0,0.0,N,"서울특별시 성동구 고산자로10길 13 (행당동, 동부수도사업소)",서울특별시 성동구 행당동 142-1,한국전기차충전서비스,1522-1782,37.5592506,127.03542,2019-06-03,3030000,서울특별시 성동구,,
86,마장동,광진성동지사,광진성동지사,서울특별시,연중무휴,08:00,20:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,N,서울특별시 성동구 마장로27길 13,서울특별시 성동구 마장동 479-2,한국전력,02-2290-5273,37.5677096023,127.0340571809,2019-06-03,3030000,서울특별시 성동구,,
87,왕십리도선동,도선동공영주차장,도선동공영주차장,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,"서울특별시 성동구 무학로8길 8 (홍익동, 도선동공영주차장)",서울특별시 성동구 홍익동 369,케이티,1522-4700,37.5654593,127.031472,2019-06-03,3030000,서울특별시 성동구,,
88,금호2·3가동,금호초등학교,금호초등학교,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,"서울특별시 성동구 무수막길 69 (금호동2가, 금호초등학교)",서울특별시 성동구 금호동2가 511,케이티,1522-4700,37.55220360000001,127.0203276,2019-06-03,3030000,서울특별시 성동구,,
89,성수2가1동,서울시 이마트(성수점),서울시 이마트(성수점),서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,2.0,0.0,N,서울특별시 성동구 뚝섬로 377  본관5층 G1구역,서울특별시 성동구 성수동2가 333-16,포스코ICT,1600-4047,37.5400204028,127.05290895569999,2019-06-03,3030000,서울특별시 성동구,,
90,사근동,서울시 성동소방서,서울시 성동소방서,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,4.0,0.0,N,"서울특별시 성동구 살곶이길 331  지상, 지하주차장",서울특별시 성동구 행당동 92-6,포스코ICT,1600-4047,37.5537172434,127.03945584700001,2019-06-03,3030000,서울특별시 성동구,,
91,왕십리도선동,서울시 성동구 보건소,서울시 성동구 보건소,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,서울특별시 성동구 마장로23길 10  주차장,서울특별시 성동구 홍익동 16-15,포스코ICT,1600-4047,37.5670791452,127.0332147532,2019-06-03,3030000,서울특별시 성동구,,
92,왕십리2동,서울시 왕십리2동 주민센터,서울시 왕십리2동 주민센터,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,서울특별시 성동구 무학봉길 69  주차장,서울특별시 성동구 하왕십리동 974-12,포스코ICT,1600-4047,37.5610305,127.030523,2019-06-03,3030000,서울특별시 성동구,,
93,성수2가1동,서울시 성수2가1동 주민센터,서울시 성수2가1동 주민센터,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,서울특별시 성동구 뚝섬로 385-19  주차장,서울특별시 성동구 성수동2가 333-134,포스코ICT,1600-4047,37.5395041,127.054002,2019-06-03,3030000,서울특별시 성동구,,
94,송정동,서울시 송정동 주민센터,서울시 송정동 주민센터,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,서울특별시 성동구 동일로43길 13  주차장,서울특별시 성동구 송정동 72-31,포스코ICT,1600-4047,37.5544739,127.069527,2019-06-03,3030000,서울특별시 성동구,,
95,성수1가2동,서울시 성수1가2동 주민센터,서울시 성수1가2동 주민센터,서울특별시,연중무휴,09:00,18:00,Y,N,AC완속,1.0,0.0,N,서울특별시 성동구 상원6나길 22-7  주차장,서울특별시 성동구 성수동1가 13-444,포스코ICT,1600-4047,37.547732,127.0500167,2019-06-03,3030000,서울특별시 성동구,,
96,마장동,서울시 시설관리공단,서울시 시설관리공단,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,2.0,0.0,N,"서울특별시 성동구 청계천로 540  지하 2, 3층 주차장",서울특별시 성동구 마장동 527-6,포스코ICT,1600-4047,37.5715745,127.036079,2019-06-03,3030000,서울특별시 성동구,,
97,금호1가동,서울시 금호1가동 주민센터,서울시 금호1가동 주민센터,서울특별시,주말및공휴일,10:00,17:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 성동구 행당로 15  지하1층주차장,서울특별시 성동구 금호동1가 127-2,포스코ICT,1600-4047,37.5548468,127.02169,2019-06-03,3030000,서울특별시 성동구,,
98,금호4가동,서울시 금호4가동 주민센터,서울시 금호4가동 주민센터,서울특별시,연중무휴,09:30,17:30,Y,N,AC완속,1.0,0.0,Y,서울특별시 성동구 독서당로46길 26,서울특별시 성동구 금호동4가 803,포스코ICT,1600-4047,37.5471374,127.022353,2019-06-03,3030000,서울특별시 성동구,,
99,응봉동,서울시 응봉동 주민센터,서울시 응봉동 주민센터,서울특별시,연중무휴,09:00,18:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 성동구 독서당로 424  주차장,서울특별시 성동구 응봉동 101,포스코ICT,1600-4047,37.5530997,127.033314,2019-06-03,3030000,서울특별시 성동구,,
100,성수1가1동,서울숲 포휴,서울숲 포휴,서울특별시,연중무휴,08:00,18:00,Y,N,AC완속,2.0,0.0,Y,서울특별시 성동구 왕십리로 58,서울특별시 성동구 성수동1가 656-3,한국전기차충전서비스,1522-1782,37.542939,127.044742,2019-06-03,3030000,서울특별시 성동구,,
101,성수1가2동,린하우스,린하우스,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 성동구 광나루로 172,서울특별시 성동구 성수동1가 13-5,한국전기차충전서비스,1522-1782,37.5510808,127.049308,2019-06-03,3030000,서울특별시 성동구,,
102,행당1동,성동구청,성동구청,서울특별시,연중무휴,08:00,22:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,"서울특별시 성동구 고산자로 270, 성동구청 부설주차장  지하2층",서울특별시 성동구 행당동 7,서울시(한국자동차환경협회),02-286-5504,37.56342359,127.036922,2019-06-03,3030000,서울특별시 성동구,,
103,성수2가3동,기아 성동 서비스센터,기아 성동 서비스센터,서울특별시,주말및공휴일,08:30,17:30,Y,Y,DC차데모+DC콤보,1.0,1.0,Y,서울특별시 성동구 성수이로26길 61,서울특별시 성동구 성수동2가 279-29,기아자동차,080-200-2000,37.5449450703,127.064203,2019-06-03,3030000,서울특별시 성동구,,
104,금호2·3가동,신금호파크자이,신금호파크자이,서울특별시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,4.0,2.0,N,서울특별시 성동구 금호로 173,서울특별시 성동구 금호동2가 1,에스트레픽,080-805-0010,37.5562227,127.019747,2019-06-03,3030000,서울특별시 성동구,,
105,성수2가1동,이마트 성수,이마트 성수,서울특별시,연중무휴,10:00,23:00,N,Y,DC차데모+DC콤보,0.0,17.0,Y,서울특별시 성동구 뚝섬로 379   (9~23시),서울특별시 성동구 성수동2가 333-16,에스트레픽,080-805-0010,37.539928,127.0534927452,2019-06-03,3030000,서울특별시 성동구,,
106,행당1동,(주)비트플러스,(주)비트플러스,서울특별시,연중무휴,10:00,23:00,Y,N,AC완속,5.0,0.0,Y,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플러스",서울특별시 성동구 행당동 168-151,케이티,1522-0123,37.5614409413,127.03839600479999,2019-06-03,3030000,서울특별시 성동구,,
107,양재1동,남서울농협 하나로마트 우면점,서울특별시 서초구 양재대로2길 116-19,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1.0,Y,서울특별시 서초구 양재대로2길 116-19,,한국전력,,37.4568754952,127.01598620700001,2019-06-03,3210000,서울특별시 서초구,,
108,방배2동,사당역 공영주차장,"서울특별시 서초구 과천대로 950-18 , 지상주차장 북주차장(우측)(방배동 507-1)",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상,,1.0,Y,서울특별시 서초구 과천대로 950-18,,환경부(한국자동차환경협회),,37.4754002,126.9837428,2019-06-03,3210000,서울특별시 서초구,,
109,서초4동,서울 부띠크모나코 급속,"서울특별시 서초구 서초대로 397(서초동, 부띠크모나코) 지하2층/지하5층D",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,3.0,Y,서울특별시 서초구 서초대로 397,,이카플러그,,37.4973032,127.0245062,2019-06-03,3210000,서울특별시 서초구,,
110,일원1동,서울만남휴게소(부산방향),서울특별시 서초구 양재대로12길 73-71 (원지동),서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,2.0,Y,서울특별시 서초구 양재대로12길 73-71 (원지동),,환경부(한국자동차환경협회),,37.4599063,127.0420601,2019-06-03,3210000,서울특별시 서초구,,
111,내곡동,서울시 내곡동 주민센터,서울특별시 서초구 염곡말길 9  지하2층 중앙기둥 뒤,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 염곡말길 9,,포스코ICT,,37.4619252,127.0511758,2019-06-03,3210000,서울특별시 서초구,,
112,내곡동,서울시 서울어린이병원,서울특별시 서초구 헌릉로 260  주차장,서울특별시,연중무휴,00:00,23:59,Y,N,,2.0,,Y,서울특별시 서초구 헌릉로 260,,포스코ICT,,37.4554808,127.0688387,2019-06-03,3210000,서울특별시 서초구,,
113,반포1동,서울시 서초구 반포1동주민센터,서울특별시 서초구 사평대로 273 지하 2층 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 사평대로 273,,포스코ICT,,37.5050553,127.013394,2019-06-03,3210000,서울특별시 서초구,,
114,반포2동,서울시 서초구 반포2동주민센터,서울특별시 서초구 신반포로15길 16 청사앞 야외주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 신반포로15길 16,,포스코ICT,,37.5045471,126.994486,2019-06-03,3210000,서울특별시 서초구,,
115,반포3동,서울시 서초구 반포3동주민센터,서울특별시 서초구 신반포로 23길 78 지하1층주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 신반포로 23길 78,,포스코ICT,,37.512229,127.005571,2019-06-03,3210000,서울특별시 서초구,,
116,반포4동,서울시 서초구 반포4동주민센터,서울특별시 서초구 사평대로28길 70 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 사평대로28길 70,,포스코ICT,,37.4974379,127.0003038,2019-06-03,3210000,서울특별시 서초구,,
117,방배1동,서울시 서초구 방배1동주민센터,서울특별시 서초구 효령로 29길 43 지상주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 효령로 29길 43,,포스코ICT,,37.4832812,126.9945303,2019-06-03,3210000,서울특별시 서초구,,
118,방배3동,서울시 서초구 방배3동주민센터,서울특별시 서초구 방배로 40 지하1층 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 방배로 40,,포스코ICT,,37.4784015,126.9999842,2019-06-03,3210000,서울특별시 서초구,,
119,방배4동,서울시 서초구 방배4동주민센터,서울특별시 서초구 방배로 173 지하 2층 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 방배로 173,,포스코ICT,,37.488988,126.9922476,2019-06-03,3210000,서울특별시 서초구,,
120,방배본동,서울시 서초구 방배본동주민센터,서울특별시 서초구 동광로19길 38 지상주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 동광로19길 38,,포스코ICT,,37.494111,126.988833,2019-06-03,3210000,서울특별시 서초구,,
121,서초1동,서울시 서초구 서초1동주민센터,서울특별시 서초구 사임당로 89 지하1층 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 사임당로 89,,포스코ICT,,37.49015120000001,127.0194515,2019-06-03,3210000,서울특별시 서초구,,
122,서초2동,서울시 서초구 서초2동주민센터,서울특별시 서초구 서초대로70길 51 지하1층 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 서초대로70길 51,,포스코ICT,,37.492049,127.0249363,2019-06-03,3210000,서울특별시 서초구,,
123,잠원동,서울시 서초구 잠원동주민센터,서울특별시 서초구 나루터로 38 지하 2층 주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 나루터로 38,,포스코ICT,,37.514976,127.013942,2019-06-03,3210000,서울특별시 서초구,,
124,반포2동,서울시 서초소방서,서울특별시 서초구 사평대로 67 주차장,서울특별시,연중무휴,09:00,18:00,Y,N,,2.0,,Y,서울특별시 서초구 사평대로 67,,포스코ICT,,37.4985816,126.9919593,2019-06-03,3210000,서울특별시 서초구,,
125,양재1동,서울시 양재1동 주민센터,서울특별시 서초구 바우뫼로 41  주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 바우뫼로 41,,포스코ICT,,37.4716428,127.0266483,2019-06-03,3210000,서울특별시 서초구,,
126,양재2동,서울시 양재2동 주민센터,서울특별시 서초구 강남대로12길 44  주차장,서울특별시,"토,일",09:00,18:00,Y,N,,1.0,,Y,서울특별시 서초구 강남대로12길 44,,포스코ICT,,37.470588,127.0412109,2019-06-03,3210000,서울특별시 서초구,,
127,양재2동,서울시 이마트(양재점),서울특별시 서초구 매헌로 16  본관B2층,서울특별시,연중무휴,09:00,23:59,Y,N,,2.0,,Y,서울특별시 서초구 매헌로 16,,포스코ICT,,37.4624678886,127.0369482493,2019-06-03,3210000,서울특별시 서초구,,
128,양재1동,서울시 제이프러스 빌딩,서울특별시 서초구 바우뫼로37길 18  지하 주차장,서울특별시,"토,일",06:30,22:30,Y,N,,1.0,,Y,서울특별시 서초구 바우뫼로37길 18,,포스코ICT,,37.4796459,127.039626,2019-06-03,3210000,서울특별시 서초구,,
129,내곡동,서울시립어린이병원,서울특별시 서초구 헌릉로 260,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1.0,Y,서울특별시 서초구 헌릉로 260,,한국전력,,37.4554808,127.0688387,2019-06-03,3210000,서울특별시 서초구,,
130,서초1동,서울시인재개발원,서울특별시 서초구 남부순환로 340길 58,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1.0,Y,서울특별시 서초구 남부순환로 340길 58,,환경부(한국자동차환경협회),,37.4811943373,127.02343534040001,2019-06-03,3210000,서울특별시 서초구,,
131,양재2동,서울오토갤러리,서울특별시 서초구 양재대로11길 36 금관 지하 2층 주차장내(정산소 앞)(양재동 217번지 금관 지하 2층 주차장내(정산소 앞)),서울특별시,연중무휴,00:00,23:59,Y,N,AC완속,3.0,,Y,서울특별시 서초구 양재대로11길 36,,지엔텔,,37.4617954,127.0353646,2019-06-03,3210000,서울특별시 서초구,,
132,양재2동,서울추모공원,서울특별시 서초구 양재대로12길 74  1층 입구,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1.0,Y,서울특별시 서초구 양재대로12길 74,,환경부(한국자동차환경협회),,37.4522334,127.0427909,2019-06-03,3210000,서울특별시 서초구,,
133,서초2동,서초구청,서울특별시 서초구 남부순환로 2584,서울특별시,연중무휴,00:00,23:59,Y,Y,DC차데모+AC3상+DC콤보,4.0,1.0,Y,서울특별시 서초구 남부순환로 2584,,"한국전기차충전서비스,환경부(한국자동차환경협회)",,37.4835872,127.0326987,2019-06-03,3210000,서울특별시 서초구,,
134,서초2동,서초지사,서울특별시 서초구 효령로 72길 60,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,,2.0,Y,서울특별시 서초구 효령로 72길 60,,한국전력,,37.4856225,127.0280556,2019-06-03,3210000,서울특별시 서초구,,
135,서초3동,예술의 전당,서울특별시 서초구 서초동 700,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1.0,Y,서울특별시 서초구 서초동 700,,한국전력,,37.4790189,127.041438,2019-06-03,3210000,서울특별시 서초구,,
136,양재2동,이마트 양재점,"서울특별시 서초구 매헌로 16 , 지하주차장 2층 Z구역(양재동 215)",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상,,1.0,Y,서울특별시 서초구 매헌로 16,,환경부(한국자동차환경협회),,37.4624678886,127.036935,2019-06-03,3210000,서울특별시 서초구,,
137,양재2동,하나로마트 양재점,서울특별시 서초구 청계산로 10,서울특별시,연중무휴,00:00,23:59,Y,Y,AC완속,2.0,1.0,Y,서울특별시 서초구 청계산로 10,,한국전기차충전서비스,,37.4629917,127.0434134,2019-06-03,3210000,서울특별시 서초구,,
138,서초2동,한국타이어 서초점,서울특별시 서초구 효령로 386,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1.0,Y,서울특별시 서초구 효령로 386,,한국전력,,37.487461,127.0261367,2019-06-03,3210000,서울특별시 서초구,,
139,양재2동,현대강남자동차써비스㈜,서울특별시 서초구 마방로 26,서울특별시,연중무휴,08:30,18:00,N,Y,DC차데모+DC콤보,,1.0,Y,서울특별시 서초구 마방로 26,,기아자동차,,37.474797,127.041474,2019-06-03,3210000,서울특별시 서초구,,
140,목1동,홈플러스 목동점,홈플러스 목동점 지상주차장 2층 01구역,서울특별시,"매월2,4주 일요일",10:00,23:59,N,Y,DC차데모+AC3상,0.0,1.0,Y,서울특별시 양천구 목동서로 170 (목동),서울특별시 양천구 목동 919-7,환경부(한국자동차환경협회),1661-9408,37.530241,126.8732314,2019-05-31,3140000,서울특별시 양천구,,
141,목1동,이마트 목동점,이마트 목동점 본관 B4층 E9구역,서울특별시,"매월2,4주 일요일",10:00,23:00,Y,N,AC완속,2.0,0.0,Y,서울특별시 양천구 오목로 299 (목동),서울특별시 양천구 목동 962,포스코ICT,1600-4047,37.5257763,126.8703272,2019-05-31,3140000,서울특별시 양천구,,
142,신월5동,이마트 신월점,이마트 신월점 옥외1층,서울특별시,"매월2,4주 일요일",10:00,23:59,Y,N,AC완속,1.0,0.0,Y,서울특별시 양천구 화곡로 59 (신월동),서울특별시 양천구 신월동 26,포스코ICT,1600-4047,37.539746,126.8285127,2019-05-31,3140000,서울특별시 양천구,,
143,신정6동,한국전력 강서양천지사,한국전력 강서양천지사 1층 주차장,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,N,서울특별시 양천구 목동서로 313,서울특별시 양천구 신정동 319-1,한국전력,1899-2100,37.5196727,126.8688231,2019-05-31,3140000,서울특별시 양천구,,
144,목1동,목동공영주차장,목동공영주차장 내 사무실 옆(현대백화점 방향),서울특별시,매년 추석 및 구정,00:00,00:00,N,Y,DC차데모+AC3상,2.0,1.0,Y,서울특별시 양천구 목동동로 316-10 양천구쓰레기압축환적장,서울특별시 양천구 목동 915,한국환경공단,1661-9408,37.5278451715,126.8778042718,2019-05-31,3140000,서울특별시 양천구,,
145,신월5동,가로공원 공영주차장,가로공원 공영주차장,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,4.0,0.0,Y,서울특별시 양천구 가로공원로 지하 133,서울특별시 양천구 신월동 263,환경부(한국자동차환경협회),1661-9408,37.5367251491,126.8308300981,2019-05-31,3140000,서울특별시 양천구,,
146,신월7동,해맞이공영주차장,해맞이주차장장 내 사무실 옆(입차 입구),서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 양천구 지양로 47 신월문화체육센타,서울특별시 양천구 신월7동 987,한국환경공단,1661-9408,37.51993,126.832662,2019-05-31,3140000,서울특별시 양천구,,
147,신정6동,양천구청 지하주차장,양천구청 지하주차장,서울특별시,연중무휴,09:00,18:00,Y,N,AC완속,2.0,0.0,Y,서울특별시 양천구 목동동로 105,서울특별시 양천구 신정동 321-4,(주)에버온,1661-7766,37.5169164,126.86647340000002,2019-05-31,3140000,서울특별시 양천구,,
148,신정6동,양천구청 지상주차장,양천구청 지상주차장,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 양천구 목동동로 105,서울특별시 양천구 신정동 321-4,보타리에너지(주),064-747-8826,37.5169164,126.86647340000002,2019-05-31,3140000,서울특별시 양천구,,
149,목2동,목2동주민센터,목2동주민센터 주차장,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,N,서울특별시 양천구 목동중앙본로 120,서울특별시 양천구 목동 530-6,환경부(한국자동차환경협회),1661-9408,37.54610220000001,126.871647,2019-05-31,3140000,서울특별시 양천구,,
