,node1,node2,node3,node4,origin,2022,2024,2026,2028,lpg_id,node1_id,node2_id,node3_id,node4_id,origin_coor,node1_coor,node2_coor,node3_coor,node4_coor
0,공항동(송정역),화곡5-2,문래동 공영주차장,대방생태,대흥에너지산업(주),1,0,0,0,47,90,99,303,163,"[37.52972379999999, 126.84502930000001]","[126.81061399999999, 37.560321]","[126.83854790000001, 37.5441769]","[126.88745300000001, 37.516205]","[126.92664099999999, 37.500189]"
1,일원역,도곡로21길7,잠원동 방음언덕형 공영주차장,암사1동공영주차장,강남복지충전소,1,0,0,0,68,25,14,176,50,"[37.4763295, 127.10327609999999]","[127.084056, 37.484669]","[127.0388718483, 37.4925934254]","[127.016135, 37.515762]","[127.13798500000001, 37.55275200000001]"
2,흑석3동,동작대교,이수 주차빌딩,사당노외,수도석유(주)방배충전소,0,1,0,0,57,168,170,182,185,"[37.4868961, 126.973018]","[126.96228700000002, 37.506417]","[126.980263, 37.505942]","[126.9853886, 37.4962412]","[126.98376299999998, 37.475302]"
3,방배열린 문화센터,반포4동 주민센터 공영주차장,미도아파트 앞 주차빌딩,교대역동측,서초충전소,0,1,0,0,62,187,181,179,174,"[37.4730658, 126.99327770000001]","[126.9922476, 37.4889095]","[127.0003038, 37.497432]","[127.01044399999999, 37.4999956]","[127.01597120000001, 37.4939238]"
4,언구비 주차빌딩,역삼문화공원,도곡로21길7,양재주차빌딩,(주)영동가스,0,1,0,0,61,177,16,14,188,"[37.5188926, 127.00966609999999]","[127.02098799999999, 37.504727]","[127.03039046159999, 37.5025141908]","[127.0388718483, 37.4925934254]","[127.041321, 37.4785659]"
5,언북초교,삼성로별관 부설,탄천주차장,아시아공원,(주)상현상사,0,1,0,0,64,38,7,6,233,"[37.5136307, 127.0291575]","[127.0447140682, 37.520126074000004]","[127.0521408548, 37.5159099376]","[127.066491114, 37.5141115358]","[127.07828, 37.510186]"
6,개포동공원,도곡로327,개포로24길33,청계산청룡,남서울가스(주),0,1,0,0,67,41,17,24,196,"[37.4977796, 127.0733765]","[127.068292231, 37.4897076707]","[127.0516657363, 37.4961565104]","[127.0497487923, 37.4771388546]","[127.05962199999999, 37.44665300000001]"
7,구룡산제2호,일원터널,일원역,수서역,강남복지충전소,0,1,0,0,68,21,26,25,35,"[37.4763295, 127.10327609999999]","[127.0672849458, 37.4760669787]","[127.078902, 37.482745]","[127.084056, 37.484669]","[127.09993500000002, 37.487944]"
8,방이동,더다이닝호수,서울놀이마당,,오금가스충전소,0,1,0,0,70,225,239,240,0,"[37.5061584, 127.12940829999998]","[127.11391299999998, 37.51372]","[127.10108799999999, 37.510556]","[127.09772099999999, 37.508941]",0
9,암사1동공영주차장,가락동2(체비지),문정근린공원,,둔촌충전소,0,1,0,0,76,50,231,232,0,"[37.5252332, 127.1444095]","[127.13798500000001, 37.55275200000001]","[127.119759, 37.494681]","[127.124748, 37.485972]",0
10,갈현1동 공영주차장,새장골 공영주차장,비봉,,은평서부충전소,0,1,0,0,30,309,313,319,0,"[37.6436336, 126.91902420000001]","[126.91533700000001, 37.626498]","[126.923549, 37.624469]","[126.9565401309, 37.612215534899995]",0
11,서신초교지하공영주차장,응암3동 공영주차장,매바위공영주차장,,(주)삼표에너지 수색충전소,0,1,0,0,29,311,316,317,0,"[37.577704499999996, 126.8991679]","[126.90683899999999, 37.59231079999999]","[126.91528899999999, 37.593506]","[126.920786, 37.586576]",0
12,천왕역,다락골,화곡5-2,화곡6-1,강서가스충전소,0,1,0,0,43,129,261,99,82,"[37.5549768, 126.76673799999999]","[126.83888999999999, 37.4866]","[126.849601, 37.516131]","[126.83854790000001, 37.5441769]","[126.84626609999998, 37.5529786]"
13,화곡본-2,달마을,양평2동청사 공영주차장,당산1동 공영주차장,대영가스 충전소,0,1,0,0,40,78,245,275,279,"[37.565115899999995, 126.80653889999999]","[126.84855309999999, 37.5441208]","[126.871574, 37.544424]","[126.885352, 37.536396]","[126.899427, 37.523768]"
14,밝은빛,어울림,목동타운홀,목3동 해운,대흥에너지산업(주),0,1,0,0,47,267,264,268,247,"[37.52972379999999, 126.84502930000001]","[126.861236, 37.516217]","[126.869307, 37.522152]","[126.876896, 37.532877]","[126.86511100000001, 37.5419998]"
15,영등포동제2 공영주차장,신길환승(5호선)공영주차장,신길1동공영주차장,영등포본동제1 공영주차장,(주)세지,0,1,0,0,56,300,301,285,297,"[37.517433399999994, 126.88625829999998]","[126.908556, 37.523736]","[126.91466299999999, 37.517666]","[126.918608, 37.510226]","[126.909151, 37.514358]"
16,가산동,독산1동,하늘공원 주차장,대림운동장공영주차장,동일석유(주)남부충전소,0,1,0,0,48,135,136,130,296,"[37.4842727, 126.89976419999999]","[126.8955605, 37.4766272]","[126.8947892, 37.4648929]","[126.880518, 37.487394]","[126.89481, 37.499611]"
17,신대방역,대림3동공영주차장,신길6동공영주차장,도화,동일석유(주)동주충전소,0,1,0,0,58,164,295,291,161,"[37.4994173, 126.9266463]","[126.913219, 37.48755900000001]","[126.900465, 37.497991]","[126.91133700000002, 37.50262100000001]","[126.934969, 37.49962100000001]"
18,남부초공영주차장,신사동제1공영주차장,압구정428,신구초교,신내LPG충전소,0,0,1,0,11,102,103,104,105,"[37.6127083, 127.09862530000001]","[126.9221169, 37.48504129999999]","[126.915444, 37.4843973]","[127.0270562016, 37.5268421056]","[127.02399152299999, 37.5233612951]"
19,논현초교,삼성로별관 부설,강남치매지원센터,도곡로421,(주)풍림에너지,0,0,1,0,9,4,7,9,12,"[37.5796396, 127.07705020000002]","[127.0262216669, 37.508490656599996]","[127.0521408548, 37.5159099376]","[127.04637764540001, 37.5103116999]","[127.0564525891, 37.4976788229]"
20,도곡로21길7,역삼1동문화센터,역삼문화공원,도곡로327,동일석유(주)황금충전소,0,0,1,0,10,14,15,16,17,"[37.5941469, 127.07365779999999]","[127.0388718483, 37.4925934254]","[127.0332824836, 37.4953738379]","[127.03039046159999, 37.5025141908]","[127.0516657363, 37.4961565104]"
21,논현로32길15,구룡산제1호,개포로24길33,일원역,오금가스충전소,0,0,1,0,70,19,20,24,25,"[37.5061584, 127.12940829999998]","[127.04343991020001, 37.4842521056]","[127.0672849458, 37.4760669787]","[127.0497487923, 37.4771388546]","[127.084056, 37.484669]"
22,일원터널,탄천제2호,일원1동,수서역,(주)세지,0,0,1,0,56,26,27,28,35,"[37.517433399999994, 126.88625829999998]","[127.078902, 37.482745]","[127.0877676116, 37.4931474673]","[127.0817931211, 37.4895657461]","[127.09993500000002, 37.487944]"
23,언북초교,개포동공원,강일동공영주차장,온조대왕옆공영주차장,기린에너지,0,0,1,0,55,38,41,42,45,"[37.5362563, 126.89676429999999]","[127.0447140682, 37.520126074000004]","[127.068292231, 37.4897076707]","[127.172156, 37.566151]","[127.15693564969999, 37.555670210900004]"
24,천호1동공영주차장,고분다리전통시장공영주차장,암사1동공영주차장,번2동주차장,은평서부충전소,0,0,1,0,30,46,47,50,55,"[37.6436336, 126.91902420000001]","[127.13631699999999, 37.54480220000001]","[127.132024, 37.542834]","[127.13798500000001, 37.55275200000001]","[127.036718, 37.626781]"
25,시범주차장,대지시장길주차장,구세군길주차장,송중동주차장,장안동가스충전소,0,0,1,0,8,61,62,63,69,"[37.5628972, 127.05646770000001]","[127.02594199999999, 37.640013]","[127.020227, 37.620104]","[127.013517, 37.625959]","[127.033569, 37.61160200000001]"
26,어울림소공원주차장,오패산주차장,송천동주차장,우이동주차장,덕마가스충전소,0,0,1,0,0,70,71,72,73,"[37.548710799999995, 127.04272749999998]","[127.036247, 37.61858400000001]","[127.031151, 37.622054]","[127.025126, 37.614536]","[127.01160700000001, 37.656681]"
27,교통광장주차장,인수동주차장,가오리주차장,화곡본-2,(주)대흥가스,0,0,1,0,32,74,75,76,78,"[37.53107650000001, 126.82973909999998]","[127.007884, 37.661971]","[127.019186, 37.635193]","[127.014951, 37.641526]","[126.84855309999999, 37.5441208]"
28,화곡5-3,화곡6-1,영보빌딩,방화우체국,우일에너지(주),0,0,1,0,13,80,82,86,97,"[37.6079111, 127.0280595]","[126.83354409999998, 37.5433295]","[126.84626609999998, 37.5529786]","[126.853045, 37.563296]","[126.814605, 37.579612]"
29,화곡5-2,행운동제1공영주차장,구로디지털단지역(상),미성동제4공영주차장,홍익에너지(주),0,0,1,0,71,99,101,107,110,"[37.5081049, 127.1014515]","[126.83854790000001, 37.5441769]","[126.960471, 37.4797436]","[126.90373899999999, 37.484644]","[126.91992150000002, 37.4762929]"
30,민방위교육장공영주차장,화양동 공영,구로리공원 지하,신도림역 환승,수도석유(주)방배충전소,0,0,1,0,57,111,112,123,125,"[37.4868961, 126.973018]","[126.91126820000001, 37.4693484]","[127.07118091219999, 37.5452978672]","[126.89157800000001, 37.490848]","[126.89216299999998, 37.507776]"
31,구로아트밸리 지하,고척1동 마을공동,오류1동 텃골,천왕역,목동충전소,0,0,1,0,37,126,127,128,129,"[37.5256, 126.8618748]","[126.889559, 37.497057]","[126.863882, 37.502261]","[126.83929499999999, 37.495385]","[126.83888999999999, 37.4866]"
32,가산디지털서측,가산동,독산1동,시흥1동,(주)에너지플러스 오곡동충전소,0,0,1,0,44,134,135,136,142,"[37.555591, 126.76601940000002]","[126.87954540000001, 37.4856589]","[126.8955605, 37.4766272]","[126.8947892, 37.4648929]","[126.89669029999999, 37.4506021]"
33,견인보관소노외,신설동 풍물시장,장안2동,외대주차빌딩,복지장안충전소,0,0,1,0,7,155,156,157,158,"[37.57615379999999, 127.06503729999999]","[127.06958829999999, 37.5892934]","[127.02426100000001, 37.572531]","[127.070618, 37.578281]","[127.0626233, 37.5949959]"
34,동작구청부설,도화,구릉,보라매공원동문,개봉충전소,0,0,1,0,52,159,161,165,166,"[37.49642120000001, 126.8583566]","[126.940148, 37.512187]","[126.934969, 37.49962100000001]","[126.92731200000001, 37.498866]","[126.92354399999999, 37.493882765900004]"
35,흑석3동,동작주차공원,동작대교,마포유수지,(주)홍릉가스충전소,0,0,1,0,6,168,169,170,171,"[37.591046, 127.03904229999999]","[126.96228700000002, 37.506417]","[126.976331, 37.503698]","[126.980263, 37.505942]","[126.942649, 37.53879000000001]"
36,망원동,교대역동측,언구비 주차빌딩,서초구립 반포2동,한일가스산업(주),0,0,1,0,51,172,174,177,178,"[37.5018823, 126.87566559999999]","[126.90645400000001, 37.559666]","[127.01597120000001, 37.4939238]","[127.02098799999999, 37.504727]","[126.99539250000001, 37.5041685]"
37,미도아파트 앞 주차빌딩,반포4동 주민센터 공영주차장,이수 주차빌딩,서울교통공사 사당 부설 주차장,서초충전소,0,0,1,0,62,179,181,182,186,"[37.4730658, 126.99327770000001]","[127.01044399999999, 37.4999956]","[127.0003038, 37.497432]","[126.9853886, 37.4962412]","[126.98563600000001, 37.4763143]"
38,방배열린 문화센터,양재주차빌딩,청계산청룡,마장동축산물 서문,(주)장위가스,0,0,1,0,14,187,188,196,200,"[37.6132323, 127.05843529999999]","[126.9922476, 37.4889095]","[127.041321, 37.4785659]","[127.05962199999999, 37.44665300000001]","[127.03854479999998, 37.5706795]"
39,성수2가1동(건물),성수2가3동(건물),송정동 (건물),서울교통공사 인재개발원 부설 주차장,동일석유(주)동주충전소,0,0,1,0,58,203,204,205,208,"[37.4994173, 126.9266463]","[127.05638929999999, 37.5368616]","[127.0549305, 37.54901270000001]","[127.0682035, 37.5497209]","[127.05688799999999, 37.562018]"
40,홍익동(건물),새싹마을 공영주차장,금호초등학교(건물),벤처빌딩,명화가스(주),0,0,1,0,59,210,211,212,213,"[37.47367620000001, 126.95127649999999]","[127.0338459, 37.565856]","[127.01098111, 37.56868111]","[127.0194207, 37.5523437]","[127.04230020000001, 37.6083886]"
41,장위시장,경동고,종암1동,풍납2공영,연일가스산업(주),0,0,1,0,31,214,215,216,218,"[37.5736524, 126.90409409999998]","[127.0484822, 37.6105275]","[127.012726, 37.5861472]","[127.03103700000001, 37.599277]","[127.116125, 37.535919]"
42,풍납시장,마천동2,마천동3,천마,동일석유(주)남부충전소,0,0,1,0,48,219,221,222,223,"[37.4842727, 126.89976419999999]","[127.121273, 37.537238]","[127.15648700000001, 37.494314]","[127.14984199999999, 37.496088]","[127.154843, 37.50019]"
43,방이고분 주차장,방이동,송파근린공원주차장,삼전동,(주)경기에너지,0,0,1,0,75,224,225,227,229,"[37.5364849, 127.1268028]","[127.118439, 37.507409]","[127.11391299999998, 37.51372]","[127.10943799999998, 37.506456]","[127.09595700000001, 37.500199]"
44,가락동2(체비지),문정근린공원,아시아공원,신천유수지,대흥에너지산업(주),0,0,1,0,47,231,232,233,234,"[37.52972379999999, 126.84502930000001]","[127.119759, 37.494681]","[127.124748, 37.485972]","[127.07828, 37.510186]","[127.102903, 37.522409]"
45,송파나루공원 동호주차장,달마을,한두,목3동 해운,대양가스충전소,0,0,1,0,41,236,245,246,247,"[37.5583883, 126.8585873]","[127.106549, 37.513205]","[126.871574, 37.544424]","[126.86609399999999, 37.548771]","[126.86511100000001, 37.5419998]"
46,서서울,능골,신우,어울림,수도에너지(주),0,0,1,0,35,252,253,254,264,"[37.5068869, 126.83681409999998]","[126.83241100000001, 37.528565]","[126.82455900000001, 37.533173]","[126.828575, 37.534569]","[126.869307, 37.522152]"
47,신정7동 한사랑교회 앞,우리,양천사회단체봉사센터,양평2동청사 공영주차장,(주)상현상사,0,0,1,0,64,265,269,272,275,"[37.5136307, 127.0291575]","[126.860059, 37.514721]","[126.879154, 37.53667100000001]","[126.875401, 37.53182329999999]","[126.885352, 37.536396]"
48,당산노외,영등포구청역,신길1동공영주차장,경부제3녹지 공영주차장,(주)수서에너지,0,0,1,0,69,277,278,285,286,"[37.482795700000004, 127.10282579999999]","[126.899395, 37.526223]","[126.89515300000001, 37.524876]","[126.918608, 37.510226]","[126.923185, 37.513329]"
49,도림초교공영주차장,신길5동공영주차장,신길6동공영주차장,대림운동장공영주차장,복지상일충전소,0,0,1,0,73,287,290,291,296,"[37.5450485, 127.1675848]","[126.90703300000001, 37.50796]","[126.90481799999999, 37.502098]","[126.91133700000002, 37.50262100000001]","[126.89481, 37.499611]"
50,영등포본동제1 공영주차장,영등포동제2 공영주차장,신길환승(5호선)공영주차장,도림동 공영주차장,신림충전소,0,0,1,0,60,297,300,301,302,"[37.4735388, 126.9319687]","[126.909151, 37.514358]","[126.908556, 37.523736]","[126.91466299999999, 37.517666]","[126.896694, 37.508188]"
51,한강진역,갈현1동 공영주차장,구산동마을공원지하공영주차장,서신초교지하공영주차장,둔촌충전소,0,0,1,0,76,308,309,310,311,"[37.5252332, 127.1444095]","[127.002074, 37.539028]","[126.91533700000001, 37.626498]","[126.908474, 37.614751]","[126.90683899999999, 37.59231079999999]"
52,연신중학교지하공영주차장,응암3동 공영주차장,매바위공영주차장,세종로,(주)청학에너지,0,0,1,0,16,315,316,317,318,"[37.628133, 127.04186509999998]","[126.925099, 37.623324]","[126.91528899999999, 37.593506]","[126.920786, 37.586576]","[126.975866, 37.573397]"
53,비봉,종묘,초동 공영주차장,동산 공영주차장,(주)삼표에너지 김포충전소,0,0,1,0,42,319,321,324,331,"[37.5380632, 126.7959011]","[126.9565401309, 37.612215534899995]","[126.994045, 37.574496]","[126.97616311, 37.56645111]","[126.97595311, 37.55660411]"
54,서소문삼성생명뒤 공영주차장,신당사거리 공영주차장,훈련원 화물대기,충현어린이공원 공영주차장,서울와사공업(주),0,0,1,0,15,335,337,339,343,"[37.636197700000004, 127.0223295]","[126.98960911, 37.56736110000001]","[126.99596711, 37.56531311]","[127.00360900000001, 37.567026]","[127.02288811, 37.56505411]"
55,충현 공영주차장,다산아트 공영주차장,신당동 공영주차장,중랑초교,남서울가스(주),0,0,1,0,67,344,345,346,347,"[37.4977796, 127.0733765]","[126.96621811, 37.55954811]","[127.01677611, 37.56744411]","[127.014296, 37.562026]","[127.075783364, 37.5891843026]"
56,면목2동,중곡초교,용마폭포,상봉2동,복지마곡충전소,0,0,1,0,39,348,349,350,352,"[37.565115899999995, 126.80653889999999]","[127.080895225, 37.5879339365]","[127.082678629, 37.5747601767]","[127.089120441, 37.5733535419]","[127.084324844, 37.593049171]"
57,중화1동,화랑대역,봉화산역(남),봉수대,(주)영동가스,0,0,1,0,61,353,354,356,357,"[37.5188926, 127.00966609999999]","[127.08165868100001, 37.6027493119]","[127.08668999999999, 37.62009000000001]","[127.091907, 37.616427]","[127.09262162700001, 37.607076780199996]"
58,동원시장,늘봄,까치공원,금란,수도에너지(주)동서울충전소,0,0,1,0,5,358,360,361,362,"[37.5896355, 127.0572487]","[127.091943773, 37.5900161494]","[127.09640007799999, 37.5898179798]","[127.086967859, 37.5835075461]","[127.10159040299999, 37.5998686891]"
59,더다이닝호수,서울놀이마당,서린노외,서인사마당,진양가스,0,0,1,0,65,239,240,320,322,"[37.4905825, 127.0346343]","[127.10108799999999, 37.510556]","[127.09772099999999, 37.508941]","[126.98148300000001, 37.569835]","[126.98358586270001, 37.5736815664]"
60,삼성1동문화센터,탄천주차장,대림2동공영주차장,대림3동공영주차장,오승프라임산업(주),0,0,1,0,50,5,6,294,295,"[37.5069035, 126.82690600000001]","[127.0626093517, 37.5143551261]","[127.066491114, 37.5141115358]","[126.89993100000001, 37.491568]","[126.900465, 37.497991]"
61,남부초공영주차장,신사동제1공영주차장,압구정428,신구초교,망우충전소,0,0,0,1,12,102,103,104,105,"[37.6005662, 127.0997273]","[126.9221169, 37.48504129999999]","[126.915444, 37.4843973]","[127.0270562016, 37.5268421056]","[127.02399152299999, 37.5233612951]"
62,논현초교,삼성1동문화센터,탄천주차장,삼성로별관 부설,은평서부충전소,0,0,0,1,30,4,5,6,7,"[37.6436336, 126.91902420000001]","[127.0262216669, 37.508490656599996]","[127.0626093517, 37.5143551261]","[127.066491114, 37.5141115358]","[127.0521408548, 37.5159099376]"
63,탄천,강남치매지원센터,구청 부설,도곡로421,신내LPG충전소,0,0,0,1,11,8,9,10,12,"[37.6127083, 127.09862530000001]","[127.069268, 37.51289000000001]","[127.04637764540001, 37.5103116999]","[127.0470610826, 37.5179663586]","[127.0564525891, 37.4976788229]"
